Nazwa przedmiotu	Rok studiów	Prowadzący	Limit miejsc	Forma zaliczenia sem. zimowy	Forma zaliczenia sem. letni	Liczba godzin sem. zimowy	Liczba godzin sem. letni	ECTS semestr zimowy	ECTS semestr letni	ECTS łącznie	Wydział	Jednostka	Dzień tygodnia	Godzina rozpoczęcia	Godzina zakończenia	Sala	Dodatkowe informacje o zaliczeniu	Uwagi	Semestr
Zespół kameralny w muzykoterapii	1M	mgr Olgierd Juzala-Deprati (doktorant)	10	zal	zst	1	1	1	1	2	I	Muzykoterapia	wtorek	16:35	17:25	305F			
Badania naukowe muzycznej praktyki wykonawczej	1-3L	dr Maria Brzuchowska	20	zal	zal	1	1	2	2	4	II		piątek	13:00	13:45	217A			
Trening twórczego myślenia	1-3L	mgr o. Wojciech Bartnicki	15	zst	zst	2	2	2	2	4	II		środa	10:30	12:00	203F			
MP3 – Muzyczne pogotowie – trema, kryzys tożsamość (grupa 1)	L/M	dr Amelia Golema/ mgr Małgorzata Kramarz	16 16	zst	zst	2	2	2	2	4	II		 środa	10:30	12:00	217A			
MP3 – Muzyczne pogotowie – trema, kryzys tożsamość (grupa 2)	L/M	dr Amelia Golema/ mgr Małgorzata Kramarz	16 16	zst	zst	2	2	2	2	4	II		 środa	12:00	13:30	217A			
Etyka	L/M	mgr o. Wojciech Bartnicki	30	zal	zst	2	2	2	3	5	II		środa	12:15	13:45	001E			
Historia filozofii	1-3L	mgr o. Wojciech Bartnicki	30	zal	zst	2	2	2	2	4	II		środa	14:00	15:30	001E			
Orkiestra symfoniczna	L/M	dr hab. Bassem Akiki	50	zst	zst	3	3	2	2	4	II		według planu projektu orkiestrowego						
Próby sekcyjne (tylko dla osób grających w Orkiestrze Symfonicznej)	L/M	w zależności od sekcji	50	zst	zst	0,5	0,5	0,5	0,5	1	II								
Orkiestra kameralna - dzień 1	L/M	dr Zbigniew Szufłat	10	zst	zst	3	3	2	2	4	II		wtorek	18:00	21:00	sala kameralna			
Orkiestra kameralna - dzień 2	L/M	dr Zbigniew Szufłat	10	zst	zst	3	3	2	2	4	II		wtorek	18:00	21:00	sala kameralna			
Orkiestra dęta	L/M	dr Piotr Bugaj	40	zst	zst	3	3	2	2	4	II		środa	15:00	19:30	102E			
